"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"HDFCBANK",769.15,772.5,760.1,777.6,761.5,-2.07,42246009,32337630049.14,"19-Jun-2026"
"INFY",1080,1094.5,1067.2,1087.1,1070.6,-1.52,9485229,10193775606.3,"10-Jun-2026"
"SBIN",1056.2,1067,1042.8,1060,1044.3,-1.48,10514887,11065551632.19,"15-May-2026"
"TCS",2245.1,2259.9,2218.5,2251.1,2219,-1.43,2382160,5312073870.4,"15-Jul-2026"
"RELIANCE",1321,1326.9,1302.7,1323.1,1304.6,-1.4,12753410,16700717929.1,"05-Jun-2026"
"DRREDDY",1224.7,1230,1203,1223.1,1206.9,-1.32,2182513,2644769253.4,"10-Jul-2026"
"TATACONSUM",1093,1096.5,1079.9,1091.9,1080.1,-1.08,1241515,1346944453.8,"25-May-2026"
"TRENT",2930,2934.4,2883.1,2925.9,2895.2,-1.05,480354,1395101729.28,"12-Jun-2026"
"BAJAJ-AUTO",10525,10560,10342.5,10522.5,10426,-0.92,834319,8730380761.52,"24-Jun-2026"
"WIPRO",176.11,177.5,174.5,176.38,174.8,-0.9,11350578,1989642817.62,"27-Jul-2026"
"POWERGRID",289,290.4,284.45,288.7,286.35,-0.81,7517060,2157922414.2,"09-Feb-2026"
"TMPV",336.1,337.65,331.8,336.45,333.9,-0.76,5847490,1953061660,"19-Jun-2026"
"CIPLA",1442.1,1443.9,1414,1441.6,1433,-0.6,1341452,1919845858.84,"05-Jun-2026"
"HDFCLIFE",564.65,564.8,557.5,564.65,561.5,-0.56,2529706,1418709718.92,"19-Jun-2026"
"ITC",283,283.95,278.8,282.7,281.2,-0.53,9858768,2769130755.84,"27-May-2026"
"MAXHEALTH",1102.4,1105.3,1084.6,1102.4,1097,-0.49,2006432,2196762139.52,"03-Jul-2026"
"ADANIENT",3175.2,3213.5,3170,3183.3,3180,-0.1,951463,3038706412.36,"12-Jun-2026"
